9. Megumin  [S級武田勝頼]    [ＴＡＣ郡山@福島県@東北] Score: 1637710630 
19. L.pis*YY  [QLWAGOD]    [ラウンドワン郡山店@福島県@東北] Score: 1637081005 
56. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1633010572 
110. KENO  [ここがグルーヴの中心よ！]    [ラウンドワン福島店@福島県@東北] Score: 1618831999 
217. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1568644105 
266. DFMEX  [神・肆級]    [セガ小名浜@福島県@東北] Score: 1538609432 
348. HIS.  [I love t+pazolite]    [スーパーノバ会津インター店@福島県@東北] Score: 1481155209 
434. IF  [GROOVER]    [セガ小名浜@福島県@東北] Score: 1411157585 
447. OO568  [エストポリス神]    [ラウンドワン郡山店@福島県@東北] Score: 1406166046 
558. sin.  [メリークルシミマス！]    [セガワールド白河@福島県@東北] Score: 1305183371 
649. PONTA-X  [はじめてのぐるこす]    [スーパーノバ会津インター店@福島県@東北] Score: 1240214892 
782. VIRGO  [SUPER STAR]    [セガ小名浜@福島県@東北] Score: 1172599204 
809. Omeme8e  [萌えキュンソングを世界にお届け！]    [セガ小名浜@福島県@東北] Score: 1161960515 
845. DDR!?  [Sampling Masters]    [ドリームファクトリーいわき店@福島県@東北] Score: 1140429766 
919. sousetsu  [議論神]    [ドリームファクトリーいわき店@福島県@東北] Score: 1099134669 
989. JIS  [悪ノ女王]    [セガ小名浜@福島県@東北] Score: 1055607578 
