126. Shougo99  [神・壱級]    [ラウンドワン浜松店@静岡県@東海] Score: 1602644677 
151. arisia  [無彩色神]    [タイトーステーション浜松店@静岡県@東海] Score: 1593641625 
218. Cocoa.*  [HARDCORE SYNDROME]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1559428422 
226. karinPTV  [無彩色神]    [タイトーステーション浜松店@静岡県@東海] Score: 1553822919 
240. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1546613764 
267. SAIKI  [すぽぉぉぉぉぉん]    [ラウンドワン浜松店@静岡県@東海] Score: 1531515046 
270. shinobu  [I LOVE EDM]    [プラサカプコン志都呂店@静岡県@東海] Score: 1529925939 
314. quell  [リンドブルム]    [ＡＧスクエア袋井店@静岡県@東海] Score: 1500568129 
330. G.srtkm  [I love "LIMIT BURST"]    [ラウンドワン浜松店@静岡県@東海] Score: 1488663167 
355. M  [GROOVER]    [タイトーステーション浜松店@静岡県@東海] Score: 1469181892 
359. WATTA  [四季の最高裁判長]    [ＡＧスクエア磐田@静岡県@東海] Score: 1467292679 
395. KU-NERU  [Ｓ＋級パスタ]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1439443461 
465. Yize  [＼ﾁｰﾝ／]    [サードプラネット富士店@静岡県@東海] Score: 1380046266 
529. BOY  [I love STG]    [タイトーステーション浜松店@静岡県@東海] Score: 1319782806 
728. HL  [LINK LINK KING]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1194372077 
739. ENE*  [全都道府県完全制覇]    [ＴＦＳイオンモール浜松市野店@静岡県@東海] Score: 1189624046 
826. IM  [メリークルシミマス！]    [セガワールドサントムーン@静岡県@東海] Score: 1143931144 
908. PON-05  [GROOVER]    [ラウンドワン富士店@静岡県@東海] Score: 1102377528 
970. Lexia.  [ワーウルフ]    [セガワールドサントムーン@静岡県@東海] Score: 1063962076 
982. JOKER  [太鼓の神]    [ＳＵＰＥＲＷＡＶＥ静岡店@静岡県@東海] Score: 1057254476 
