1. newxh  [メリークリスマス！]    [埼玉県] Score: 80000000
2. zoroakun  [Sakura God]    [栃木県] Score: 79899733
3. HIHIME  [朱雀]    [香港] Score: 79876670
4. akariki  [わぁい神様大好き]    [神奈川県] Score: 79849959
5. Hatuneko  [環状線神]    [台湾] Score: 79838797
6. SKYMAN  [Starlight Road God]    [岡山県] Score: 79818581
7. DIYUSI  [パワー]    [大阪府] Score: 79817155
8. IRUKA  [聖徳道士]    [神奈川県] Score: 79803928
9. BLACKemo  [アザレアの神]    [京都府] Score: 79779485
10. 9tan*3s0  [九龍神]    [宮城県] Score: 79752546
11. Ryuki  [Crimson Phoenix God]    [東京都] Score: 79730142
12. ENBI-N  [最高の舞台を目指せ！]    [青森県] Score: 79711252
13. HAKOBUN3  [Groove master? -xiRemix-]    [愛知県] Score: 79706789
14. HARU*Y.  [隠れた猛者]    [宮城県] Score: 79687360
15. *_MIKU_*  [MikuMikuGod]    [台湾] Score: 79600817
16. HEI.  [「永夜返し -世明け」]    [香港] Score: 79493085
17. Remilia  [神話のアマノジャク]    [山形県] Score: 79361929
18. MiroT  [全知全能の神]    [青森県] Score: 79335584
19. HIKARU  [Starlight Road God]    [愛知県] Score: 79274834
20. LEPHIA  [LINK PERFECT]    [福岡県] Score: 79269949
21. KYONKO  [LINK PERFECT]    [台湾] Score: 79089554
22. NEGAME  [ARTIST]    [福岡県] Score: 79082014
23. PADANTE  [歌うショップキーパー]    [埼玉県] Score: 78939244
24. Yuly7188  [天下無双]    [鹿児島県] Score: 78913959
25. KuriZZZZ  [謎の少女]    [長野県] Score: 78686872
26. 2CYR  [ナムコットメドレー・キング]    [千葉県] Score: 78579736
27. FRED  [漆黒の堕天使]    [長野県] Score: 78551172
28. Mizore  [ヴァンパイア神]    [京都府] Score: 78513942
29. Retsu.  [Ever Free God]    [東京都] Score: 78174093
30. PAN  [みっくみくにしてやんよ～！]    [福井県] Score: 78142974
31. RedBunny  [幸福理論神]    [台湾] Score: 78008835
32. antisan  [白龍]    [徳島県] Score: 77744067
33. >TAPE<  [踊ってみたら七変化！]    [東京都] Score: 77742701
34. RETurn  [I love "怪談「カーナビ」"]    [栃木県] Score: 77725355
35. MELON  [Ｓ＋級うどん]    [アメリカ] Score: 77621673
36. remina  [LINK PERFECT]    [東京都] Score: 77437437
37. JALECO  [SEP, 2017 TOP RANKER]    [福井県] Score: 77365582
38. motto_87  [I love ATTACK THE MUSIC]    [東京都] Score: 77254696
39. HITACHI  [FM音源神]    [鹿児島県] Score: 77230767
40. PETER1  [青龍]    [香港] Score: 77183492
41. KEI  [エストポリス神]    [千葉県] Score: 76998194
42. NOLF68  [「叫べ 叫べ 遠くへ」]    [神奈川県] Score: 76968390
43. e99tart  [GROOVER]    [東京都] Score: 76910992
44. A9  [わわわわーにん！]    [東京都] Score: 76870378
45. Youh  [Crimson Phoenix God]    [茨城県] Score: 76849446
46. Hydrex  [Ｓ＋級チャーハン]    [アメリカ] Score: 76801040
47. NOGUnSO  [Frey's Master]    [愛知県] Score: 76746610
48. RAM4  [はじめてのぐるこす]    [神奈川県] Score: 76592313
49. Hinata  [金色の異端児]    [愛知県] Score: 76540550
50. EJ@765  [S級真田昌幸]    [東京都] Score: 76119131
51. NAKAHITO  [変なTシャツヤロー]    [岐阜県] Score: 76088311
52. nyamo  [THE BLUE KING]    [鳥取県] Score: 76072930
53. RAIn  [厄神様]    [山梨県] Score: 75997609
54. MEBIUS  [練習中]    [青森県] Score: 75716816
55. U-toPi@  [Groove master? -xiRemix-]    [愛知県] Score: 75633810
56. NANARI  [I love "怪談「カーナビ」"]    [愛知県] Score: 75587885
57. SingleE  [不可能へ挑戦し続ける者]    [福岡県] Score: 75304016
58. kuhaku  [完全に極めたなっしんぐ]    [青森県] Score: 75197781
59. ni-yan  [伝統の幻想ブン屋]    [千葉県] Score: 74987683
60. BASS  [ヴァーチャー]    [島根県] Score: 74891225
61. mika  [月夜ノ神]    [山形県] Score: 74522797
62. DammK  [ＥＸ級横綱]    [香港] Score: 74456212
63. LOLME  [千葉勢]    [千葉県] Score: 74342982
64. MAKURO  [ナムコットメドレー・ゴッド]    [東京都] Score: 73900483
