"Taiwan"@"2017年09月19日02時10分"

1. Hazuneko(17)  [猫神]  Score: 1563203558
2. HORIZON(72)  [Ｓ＋級紅茶]  Score: 1553827265
3. Xuzuo(88)  [Detonator God]  Score: 1550529825
4. GROOVER(99)  [「幼女の世界」]  Score: 1547343003
5. %2A_MIKU_%2A(114)  [MikuMikuGod]  Score: 1542704570
6. KYONKO(126)  [TANO*C GOD]  Score: 1537935542
7. S-Kang(154)  [天下一チャレンジャー]  Score: 1525288868
8. xx_Adam(158)  [悪ノ女王]  Score: 1524149568
9. xx_LA-LA(166)  [強欲の魔法使い]  Score: 1521796473
10. S_LAN(192)  [α]  Score: 1510550527
11. xx_Clark(215)  [空間騎兵]  Score: 1500291363
12. 387(221)  [「プリスティンビート」]  Score: 1497405514
13. R.KaBaTa(223)  [発狂大魔人]  Score: 1496898312
14. L(267)  [神宝「蓬莱の玉の枝 -夢色の郷-」]  Score: 1475790130
15. HAPPYEXE(306)  [第五ノ封印ヲ解放セシ者]  Score: 1455851789
16. MOEOU(333)  [Ｓ級オシリス]  Score: 1432274359
17. FOX186(398)  [夏だ！海だ！初音ミク]  Score: 1379794224
18. AZUSA%40.%40(484)  [S級豊臣秀吉]  Score: 1307670281
19. B.RS(518)  [神速の反射神経]  Score: 1279371346
20. xx_DiC(538)  [妹大王]  Score: 1265093064
21. 3345678(555)  [メイド先生]  Score: 1253062959
22. LDT_JACK(572)  [STARLIGHT GOD]  Score: 1239610326
23. Flaxer%23(575)  [無名の王]  Score: 1237000681
24. Kirby%2364(590)  [青龍]  Score: 1230462839
25. Xa%3C%3E_xx(652)  [戦車女王]  Score: 1188892243
26. NGGFN(693)  [レンかわいいよレン]  Score: 1170269312
27. RedBunny(702)  [幸福理論神]  Score: 1166757220
28. LDT-Cus(720)  [LINK MASTER]  Score: 1153954858
29. SkyFox(738)  [「紅色の幻想郷」]  Score: 1146997999
30. PLATINUM(745)  [十人の話を同時に聞くことが出来る女神]  Score: 1145074959
31. G8.inc(776)  [練習中]  Score: 1131391752
32. O_____O(783)  [Ｓ＋級ハンバーグ]  Score: 1127401109
33. BIGBANG(794)  [世界の傍観者]  Score: 1118425581
34. AXue(840)  [GROOVER]  Score: 1091479761
35. HALKEN(859)  [I love 燦]  Score: 1080037557
36. DBB_HTC(862)  [I love "東方不死鳥"]  Score: 1078447043
37. +_RM13_(873)  [GENESYS]  Score: 1072170782
38. tinrtgu(887)  [絶望]  Score: 1065425281
39. SAKI(931)  [神霊「夢想封印 瞬」]  Score: 1043917100
40. Kevin(940)  [I love "蒼空に舞え、墨染の桜"]  Score: 1040372462
