"Taiwan"@"2017年10月26日02時10分"

1. Hazuneko(17)  [Bright God]  Score: 1581193990
2. *_MIKU_*(71)  [MikuMikuGod]  Score: 1573066871
3. Xuzuo(74)  [Detonator God]  Score: 1572557224
4. HORIZON(79)  [Ｓ＋級紅茶]  Score: 1571762286
5. KYONKO(126)  [ドリームパーティーゴッド]  Score: 1558550164
6. xx_Adam(139)  [ネトゲ廃人大王]  Score: 1551695602
7. GROOVER(161)  [「幼女の世界」]  Score: 1544262251
8. S-Kang(163)  [天下一チャレンジャー]  Score: 1543933801
9. xx_LA-LA(174)  [バーカバーカ！]  Score: 1539581118
10. S_LAN(186)  [α]  Score: 1531731080
11. xx_Clark(214)  [LOCK]  Score: 1518486429
12. 387(226)  [「プリスティンビート」]  Score: 1514379574
13. LEO*(236)  [岐阜勢]  Score: 1509719515
14. L(258)  [ゆっくりしていってね！]  Score: 1495210390
15. R.KaBaTa(261)  [発狂大魔人]  Score: 1493813810
16. MOEOU(294)  [青龍]  Score: 1475037652
17. HAPPYEXE(297)  [第五ノ封印ヲ解放セシ者]  Score: 1473113744
18. FOX186(392)  [最高の舞台を目指せ！]  Score: 1404367443
19. xx_DiC(470)  [練習中]  Score: 1334851425
20. B.RS(472)  [神々が恋した神]  Score: 1334168932
21. AZUSA@.@(478)  [魔奴化]  Score: 1323178489
22. 3345678(583)  [メイド先生]  Score: 1250213392
23. LDT_JACK(598)  [STARLIGHT GOD]  Score: 1237570269
24. Kirby#64(603)  [青龍]  Score: 1234433192
25. Flaxer#(612)  [無名の王]  Score: 1231099273
26. NGGFN(646)  [レンかわいいよレン]  Score: 1202944733
27. Xa<>_xx(655)  [戦車女王]  Score: 1198543607
28. RedBunny(685)  [幸福理論神]  Score: 1184751889
29. PLATINUM(711)  [十人の話を同時に聞くことが出来る女神]  Score: 1172828114
30. SkyFox(712)  [ドリームパーティーキング]  Score: 1172674098
31. O_____O(750)  [Ｓ＋級すき焼き]  Score: 1154663411
32. LDT-Cus(766)  [LINK MASTER]  Score: 1148230902
33. G8.inc(811)  [練習中]  Score: 1125660707
34. AXue(823)  [GROOVER]  Score: 1120787505
35. BIGBANG(831)  [世界の傍観者]  Score: 1112598659
36. DBB_HTC(844)  [I love "東方不死鳥"]  Score: 1104840177
37. HALKEN(855)  [I love 燦]  Score: 1098039828
38. SRH(889)  [I love "議論 -HEAT UP-"]  Score: 1080329560
39. Kevin(918)  [I love "蒼空に舞え、墨染の桜"]  Score: 1066622958
40. tinrtgu(922)  [絶望]  Score: 1064847611
41. SAKI(943)  [神霊「夢想封印 瞬」]  Score: 1052600929
42. COASTER(958)  [初代スコアタ騎士]  Score: 1045164272
43. Akatsuki(961)  [第四ノ封印ヲ解放セシ者]  Score: 1042652555
44. moroko@@(969)  [メイド秘技「殺人ドール」]  Score: 1037735295
45. tender(978)  [神霊「夢想封印 瞬」]  Score: 1032885194
46. Yorda(984)  [第五ノ封印ヲ解放セシ者]  Score: 1027103125
