"Taiwan"@"2017年12月01日02時10分"

1. HIHIME(7)  [朱雀]  Score: 1611880812
2. Hazuneko(10)  [Bright God]  Score: 1611295782
3. *_MIKU_*(67)  [MikuMikuGod]  Score: 1601579670
4. HORIZON(68)  [Ｓ＋級紅茶]  Score: 1601515581
5. Xuzuo(105)  [Detonator God]  Score: 1591415822
6. KYONKO(118)  [LINK PERFECT]  Score: 1586809747
7. xx_Adam(152)  [第四ノ封印ヲ解放セシ者]  Score: 1572633976
8. S-Kang(157)  [天下一チャレンジャー]  Score: 1570640262
9. xx_LA-LA(167)  [バーカバーカ！]  Score: 1566048998
10. R.KaBaTa(177)  [発狂大魔人]  Score: 1561472805
11. S_LAN(186)  [α]  Score: 1558287582
12. GROOVER(199)  [「幼女の世界」]  Score: 1551243640
13. xx_Clark(202)  [小人の末裔]  Score: 1549257978
14. LEO*(225)  [和歌山勢]  Score: 1535974896
15. 387(237)  [「プリスティンビート」]  Score: 1530062650
16. MOEOU(272)  [麒麟]  Score: 1511469920
17. L(286)  [ゆっくりしていってね！]  Score: 1499680198
18. HAPPYEXE(313)  [S級武田信玄]  Score: 1482930148
19. FOX186(385)  [夢に向かって飛び立て！]  Score: 1427786293
20. xx_DiC(404)  [I love "Blue Destiny Blue"]  Score: 1413390738
21. B.RS(462)  [メイド王]  Score: 1366445067
22. AZUSA@.@(479)  [ネトゲ廃人大王]  Score: 1346059334
23. 3345678(604)  [メイド先生]  Score: 1249243481
24. NGGFN(616)  [レンかわいいよレン]  Score: 1241672104
25. LDT_JACK(621)  [STARLIGHT GOD]  Score: 1234594004
26. Kirby#64(624)  [青龍]  Score: 1234262406
27. Flaxer#(635)  [無名の王]  Score: 1228164980
28. PLATINUM(657)  [OCT, 2017 TOP RANKER]  Score: 1213826330
29. RedBunny(663)  [幸福理論神]  Score: 1210465732
30. Xa<>_xx(666)  [戦車女王]  Score: 1206923443
31. BIGBANG(678)  [世界の傍観者]  Score: 1200626814
32. SkyFox(680)  [LINK MASTER]  Score: 1199745871
33. O_____O(702)  [どんつくどんつくどんつくどんつく]  Score: 1191138772
34. LDT-Cus(801)  [LINK MASTER]  Score: 1145319126
35. +_RM13_(810)  [EXTREME]  Score: 1140145860
36. DBB_HTC(821)  [I love "東方不死鳥"]  Score: 1136211981
37. HALKEN(847)  [I love 燦]  Score: 1123007515
38. G8.inc(848)  [練習中]  Score: 1122860376
39. AXue(854)  [GROOVER]  Score: 1117849127
40. SRH(857)  [I love "議論 -HEAT UP-"]  Score: 1116780787
41. Kevin(884)  [I love "蒼空に舞え、墨染の桜"]  Score: 1101658178
42. SAKI(928)  [神霊「夢想封印 瞬」]  Score: 1071936733
43. Akatsuki(931)  [第四ノ封印ヲ解放セシ者]  Score: 1070230757
44. COASTER(960)  [初代スコアタ騎士]  Score: 1053550733
45. Yorda(968)  [狂乱を、味わえ]  Score: 1050048974
