"Taiwan"@"2018年01月03日02時10分"

1. Hazuneko(14)  [摩天楼神]  Score: 1631366270
2. *_MIKU_*(57)  [MikuMikuGod]  Score: 1625147728
3. Xuzuo(63)  [Detonator God]  Score: 1623545070
4. HORIZON(76)  [Ｓ＋級紅茶]  Score: 1621415114
5. KYONKO(111)  [LINK PERFECT]  Score: 1610632477
6. xx_Adam(127)  [第四ノ封印ヲ解放セシ者]  Score: 1601228307
7. R.KaBaTa(145)  [TANO*C MASTER]  Score: 1594174766
8. S-Kang(149)  [天下一チャレンジャー]  Score: 1593137319
9. xx_LA-LA(161)  [無理]  Score: 1588825574
10. S_LAN(180)  [α]  Score: 1580634612
11. xx_DiC(191)  [練習中]  Score: 1574225638
12. xx_Clark(202)  [つらい]  Score: 1568629660
13. 387(213)  [「プリスティンビート」]  Score: 1561797594
14. LEO*(230)  [滋賀勢]  Score: 1551866304
15. GROOVER(236)  [「幼女の世界」]  Score: 1548243640
16. MOEOU(243)  [雷神]  Score: 1544028399
17. L(318)  [ゆっくりしていってね！]  Score: 1496680198
18. HAPPYEXE(322)  [S級武田信玄]  Score: 1495663193
19. FOX186(374)  [メリクリユメちゃん！]  Score: 1454426355
20. B.RS(454)  [神々が恋した神]  Score: 1389085371
21. AZUSA@.@(479)  [緑眼の女王]  Score: 1365751882
22. RedBunny(550)  [幸福理論神]  Score: 1302054006
23. ODGC3EX!(573)  [シンドイ・ザ・クイーン]  Score: 1289053865
24. NGGFN(590)  [レンかわいいよレン]  Score: 1275170242
25. BIGBANG(603)  [世界の傍観者]  Score: 1265841813
26. PLATINUM(620)  [緑眼のジェラシー]  Score: 1256122701
27. 3345678(632)  [メイド先生]  Score: 1247203582
28. Kirby#64(645)  [青龍]  Score: 1236066581
29. LDT_JACK(651)  [STARLIGHT GOD]  Score: 1232512990
30. Flaxer#(664)  [無名の王]  Score: 1225205933
31. SkyFox(681)  [Tell Your King]  Score: 1215285945
32. O_____O(684)  [無理]  Score: 1213604101
33. Xa<>_xx(689)  [戦車女王]  Score: 1211056288
34. DBB_HTC(794)  [I love "東方不死鳥"]  Score: 1162263184
35. +_RM13_(806)  [EXTREME]  Score: 1158572528
36. LDT-Cus(827)  [LINK MASTER]  Score: 1142385426
37. HALKEN(830)  [I love 燦]  Score: 1141386934
38. Kevin(854)  [I love "蒼空に舞え、墨染の桜"]  Score: 1132958371
39. G8.inc(874)  [練習中]  Score: 1119871104
40. SRH(882)  [I love "議論 -HEAT UP-"]  Score: 1115794415
41. AXue(883)  [GROOVER]  Score: 1114984372
42. Akatsuki(897)  [第四ノ封印ヲ解放セシ者]  Score: 1105155014
43. SAKI(935)  [神霊「夢想封印 瞬」]  Score: 1084271391
44. Yorda(937)  [狂乱を、味わえ]  Score: 1079070297
45. tinrtgu(971)  [絶望]  Score: 1062476780
