"Taiwan"@"2018年01月19日02時10分"

1. Hazuneko(4)  [環状線神]  Score: 1651203060
2. Xuzuo(32)  [God's Blood]  Score: 1643994701
3. *_MIKU_*(82)  [MikuMikuGod]  Score: 1634254251
4. HORIZON(97)  [Ｓ＋級紅茶]  Score: 1630310797
5. xx_Adam(119)  [第四ノ封印ヲ解放セシ者]  Score: 1620846689
6. KYONKO(122)  [LINK PERFECT]  Score: 1619956269
7. S-Kang(166)  [天下一チャレンジャー]  Score: 1598917789
8. xx_LA-LA(170)  [無理]  Score: 1597662978
9. R.KaBaTa(172)  [TANO*C MASTER]  Score: 1597094996
10. S_LAN(195)  [α]  Score: 1586160802
11. xx_DiC(200)  [練習中]  Score: 1583195581
12. xx_Clark(211)  [尊い・・・]  Score: 1577343656
13. 387(212)  [「プリスティンビート」]  Score: 1577172364
14. LEO*(230)  [和歌山勢]  Score: 1562284026
15. MOEOU(240)  [八岐大蛇]  Score: 1555742152
16. GROOVER(255)  [「幼女の世界」]  Score: 1548243640
17. HAPPYEXE(317)  [S級織田信長]  Score: 1509148378
18. L(331)  [ゆっくりしていってね！]  Score: 1496680198
19. FOX186(369)  [つらい]  Score: 1468318751
20. B.RS(449)  [神々が恋した神]  Score: 1407048321
21. AZUSA@.@(478)  [緑眼の女王]  Score: 1377181304
22. RedBunny(534)  [幸福理論神]  Score: 1326466745
23. ODGC3EX!(560)  [I love ATTACK THE MUSIC]  Score: 1306328401
24. NGGFN(582)  [レンかわいいよレン]  Score: 1291158669
25. BIGBANG(590)  [世界の傍観者]  Score: 1285891142
26. PLATINUM(611)  [DEC, 2017 TOP RANKER]  Score: 1269956978
27. 3345678(643)  [メイド先生]  Score: 1247203582
28. LDT_JACK(646)  [STARLIGHT GOD]  Score: 1244656547
29. Kirby#64(658)  [青龍]  Score: 1239861436
30. O_____O(674)  [姉の歌姫]  Score: 1229176049
31. SkyFox(682)  [□△×○大王]  Score: 1225515255
32. Flaxer#(683)  [無名の王]  Score: 1225205933
33. Xa<>_xx(706)  [戦車女王]  Score: 1211056288
34. DBB_HTC(788)  [I love "東方不死鳥"]  Score: 1172312700
35. +_RM13_(791)  [EXTREME]  Score: 1171366763
36. HALKEN(826)  [I love 燦]  Score: 1154317310
37. Kevin(831)  [I love "蒼空に舞え、墨染の桜"]  Score: 1148963931
38. LDT-Cus(849)  [LINK MASTER]  Score: 1142385426
39. G8.inc(888)  [練習中]  Score: 1119871104
40. SRH(893)  [I love "議論 -HEAT UP-"]  Score: 1115794415
41. Akatsuki(894)  [第四ノ封印ヲ解放セシ者]  Score: 1115110122
42. AXue(895)  [GROOVER]  Score: 1114984372
43. SAKI(932)  [神霊「夢想封印 瞬」]  Score: 1095121266
44. Yorda(935)  [仙符「日出ずる処の天子」]  Score: 1093731306
45. tinrtgu(971)  [絶望]  Score: 1068767623
