"Taiwan"@"2018年01月30日02時10分"

1. Hazuneko(13)  [現実逃避神]  Score: 1651362870
2. *_MIKU_*(46)  [MikuMikuGod]  Score: 1645392841
3. Xuzuo(52)  [Detonator God]  Score: 1644383375
4. KYONKO(104)  [LINK PERFECT]  Score: 1630965751
5. HORIZON(106)  [Ｓ＋級紅茶]  Score: 1629210641
6. xx_Adam(124)  [第四ノ封印ヲ解放セシ者]  Score: 1621282521
7. S-Kang(141)  [天下一チャレンジャー]  Score: 1612866386
8. xx_LA-LA(166)  [バーカバーカ！]  Score: 1602871031
9. S_LAN(174)  [α]  Score: 1599904006
10. xx_DiC(187)  [会いたい神]  Score: 1594999771
11. R.KaBaTa(195)  [TANO*C MASTER]  Score: 1588278308
12. xx_Clark(196)  [「一緒に帰ろう」]  Score: 1588183053
13. 387(210)  [「プリスティンビート」]  Score: 1581067769
14. MOEOU(230)  [八岐大蛇]  Score: 1566525045
15. LEO*(240)  [奈良勢]  Score: 1561195857
16. GROOVER(281)  [「幼女の世界」]  Score: 1539243992
17. HAPPYEXE(320)  [S級織田信長]  Score: 1510582769
18. L(343)  [ゆっくりしていってね！]  Score: 1488182952
19. FOX186(360)  [しんどい]  Score: 1477354267
20. B.RS(427)  [神々が恋した神]  Score: 1422150884
21. AZUSA@.@(481)  [緑眼の女王]  Score: 1377340114
22. RedBunny(531)  [幸福理論神]  Score: 1326860482
23. ODGC3EX!(545)  [名も無い幼い王]  Score: 1318151734
24. BIGBANG(546)  [世界の傍観者]  Score: 1318103725
25. NGGFN(561)  [レンかわいいよレン]  Score: 1308055791
26. PLATINUM(617)  [DEC, 2017 TOP RANKER]  Score: 1268071956
27. Nitro(634)  [Don't stop funky music!]  Score: 1255590716
28. SkyFox(641)  [緑眼の女王]  Score: 1251840535
29. 3345678(663)  [メイド先生]  Score: 1238747782
30. Kirby#64(665)  [青龍]  Score: 1237995081
31. LDT_JACK(666)  [STARLIGHT GOD]  Score: 1236714618
32. O_____O(677)  [「一緒に帰ろう」]  Score: 1231340440
33. Xa<>_xx(689)  [戦車女王]  Score: 1219378257
34. Flaxer#(699)  [無名の王]  Score: 1216417643
35. DBB_HTC(757)  [I love "東方不死鳥"]  Score: 1185808948
36. +_RM13_(789)  [EXTREME]  Score: 1166922782
37. Kevin(819)  [I love "蒼空に舞え、墨染の桜"]  Score: 1157266602
38. HALKEN(830)  [I love 燦]  Score: 1152484812
39. LDT-Cus(862)  [LINK MASTER]  Score: 1133942368
40. Akatsuki(886)  [第四ノ封印ヲ解放セシ者]  Score: 1120265636
41. SRH(902)  [I love "議論 -HEAT UP-"]  Score: 1111368361
42. G8.inc(903)  [練習中]  Score: 1111232778
43. AXue(915)  [GROOVER]  Score: 1106333628
44. Yorda(931)  [狂乱を、味わえ]  Score: 1095901358
45. SAKI(942)  [神霊「夢想封印 瞬」]  Score: 1089527010
