"Taiwan"@"2018年02月04日02時10分"

1. *_MIKU_*(57)  [MikuMikuGod]  Score: 1645432828
2. Xuzuo(61)  [Detonator God]  Score: 1644646491
3. HORIZON(103)  [Ｓ＋級紅茶]  Score: 1634181573
4. KYONKO(109)  [LINK PERFECT]  Score: 1630965751
5. xx_Adam(127)  [第四ノ封印ヲ解放セシ者]  Score: 1621360630
6. S-Kang(145)  [天下一チャレンジャー]  Score: 1612866386
7. xx_LA-LA(158)  [バーカバーカ！]  Score: 1608759473
8. S_LAN(177)  [α]  Score: 1599904006
9. xx_DiC(187)  [会いたい神]  Score: 1595749521
10. R.KaBaTa(197)  [TANO*C MASTER]  Score: 1588278308
11. xx_Clark(198)  [「荒ぶる戦士」]  Score: 1588274323
12. 387(213)  [「プリスティンビート」]  Score: 1581122804
13. MOEOU(233)  [八岐大蛇]  Score: 1566525045
14. LEO*(243)  [奈良勢]  Score: 1561195857
15. GROOVER(282)  [「幼女の世界」]  Score: 1539243992
16. HAPPYEXE(322)  [S級織田信長]  Score: 1511597732
17. L(346)  [ゆっくりしていってね！]  Score: 1488182952
18. FOX186(360)  [しんどい]  Score: 1478479607
19. B.RS(428)  [神々が恋した神]  Score: 1422150884
20. AZUSA@.@(482)  [緑眼の女王]  Score: 1377340114
21. RedBunny(533)  [幸福理論神]  Score: 1326875080
22. BIGBANG(544)  [世界の傍観者]  Score: 1319424782
23. ODGC3EX!(547)  [名も無い幼い王]  Score: 1318373066
24. NGGFN(559)  [レンかわいいよレン]  Score: 1312235697
25. PLATINUM(620)  [DEC, 2017 TOP RANKER]  Score: 1268079445
26. Nitro(638)  [Don't stop funky music!]  Score: 1256504632
27. SkyFox(645)  [緑眼の女王]  Score: 1253055706
28. Kirby#64(665)  [青龍]  Score: 1238920096
29. 3345678(666)  [メイド先生]  Score: 1238747782
30. LDT_JACK(668)  [STARLIGHT GOD]  Score: 1236714618
31. O_____O(675)  [「一緒に帰ろう」]  Score: 1234254778
32. Xa<>_xx(694)  [戦車女王]  Score: 1219378257
33. Flaxer#(706)  [無名の王]  Score: 1216417643
34. DBB_HTC(762)  [I love "東方不死鳥"]  Score: 1185808948
35. +_RM13_(793)  [EXTREME]  Score: 1166922782
36. Kevin(823)  [I love "蒼空に舞え、墨染の桜"]  Score: 1157266602
37. HALKEN(828)  [I love 燦]  Score: 1155532022
38. LDT-Cus(864)  [LINK MASTER]  Score: 1133942368
39. Akatsuki(888)  [第四ノ封印ヲ解放セシ者]  Score: 1120265636
40. SRH(906)  [I love "議論 -HEAT UP-"]  Score: 1111368361
41. G8.inc(907)  [練習中]  Score: 1111232778
42. Yorda(914)  [無名の神]  Score: 1108817722
43. AXue(917)  [GROOVER]  Score: 1106333628
44. SAKI(945)  [神霊「夢想封印 瞬」]  Score: 1089527010
45. tinrtgu(995)  [絶望]  Score: 1060495764
