Taiwan@2018年03月01日02時10分

1.Hazuneko(17)  [環状線神]  Score: 1679354075
2.*_MIKU_*(61)  [MikuMikuGod]  Score: 1673681091
3.Xuzuo(66)  [Detonator God]  Score: 1672461936
4.HORIZON(113)  [Ｓ＋級紅茶]  Score: 1656646911
5.xx_Adam(134)  [第四ノ封印ヲ解放セシ者]  Score: 1649104093
6.R.KaBaTa(150)  [TANO*C MASTER]  Score: 1640515432
7.S-Kang(151)  [天下一チャレンジャー]  Score: 1639832193
8.KYONKO(155)  [LINK PERFECT]  Score: 1637136747
9.xx_LA-LA(157)  [バーカバーカ！]  Score: 1636255067
10.S_LAN(184)  [α]  Score: 1626695681
11.xx_DiC(185)  [会いたい神]  Score: 1626131666
12.xx_Clark(220)  [第四回天下一チャレンジャー]  Score: 1604816773
13.387(224)  [「プリスティンビート」]  Score: 1602427389
14.MOEOU(254)  [八岐大蛇]  Score: 1583955351
15.LEO*(271)  [愛知勢]  Score: 1570218265
16.GROOVER(313)  [「幼女の世界」]  Score: 1539243992
17.HAPPYEXE(338)  [S級織田信長]  Score: 1519585756
18.FOX186(352)  [「パッパッパラッパパパラパ」]  Score: 1502520334
19.L(356)  [冬のミクさんマジ天使]  Score: 1501865179
20.B.RS(424)  [会いたい大王]  Score: 1447851464
21.RedBunny(458)  [幸福理論神]  Score: 1419679267
22.AZUSA@.@(492)  [星条旗の女王]  Score: 1390509610
23.BIGBANG(509)  [世界の傍観者]  Score: 1370495131
24.ODGC3EX!(516)  [S級武田信玄]  Score: 1364888147
25.SkyFox(634)  [「惑、惑星が飛び出す」]  Score: 1278918019
26.PLATINUM(640)  [無名の神]  Score: 1273889199
27.O_____O(677)  [「一緒に帰ろう」]  Score: 1250485053
28.Kirby#64(685)  [青龍]  Score: 1242672427
29.Xa<>_xx(686)  [戦車女王]  Score: 1241359819
30.LDT_JACK(690)  [完全なる墨染の神]  Score: 1239370832
31.3345678(695)  [メイド先生]  Score: 1238747782
32.Flaxer#(733)  [無名の王]  Score: 1216417643
33.DBB_HTC(746)  [I love "東方不死鳥"]  Score: 1208235961
34.+_RM13_(777)  [EXTREME]  Score: 1190953334
35.HALKEN(795)  [I love 燦]  Score: 1181672113
36.Kevin(816)  [I love "蒼空に舞え、墨染の桜"]  Score: 1170029612
37.Yorda(878)  [女神になったミクさん]  Score: 1139663787
38.Akatsuki(887)  [第四ノ封印ヲ解放セシ者]  Score: 1137070225
39.LDT-Cus(891)  [遠征]  Score: 1134728221
40.G8.inc(928)  [練習中]  Score: 1112780558
41.SRH(932)  [I love "議論 -HEAT UP-"]  Score: 1111368361
42.SAKI(946)  [神霊「夢想封印 瞬」]  Score: 1103273374
43.tinrtgu(980)  [絶望]  Score: 1080615360
