Taiwan@2018年04月14日02時10分

1.Hatuneko(8)  [環状線神]  Score: 1762328426
2.*_MIKU_*(28)  [MikuMikuGod]  Score: 1756696321
3.KYONKO(63)  [LINK PERFECT]  Score: 1740568109
4.Adam030(77)  [第四ノ封印ヲ解放セシ者]  Score: 1732318566
5.xx_030(155)  [会いたい神]  Score: 1696491769
6.KL+.G(165)  [α]  Score: 1692931499
7.X-Clark-(166)  [Blue King Blue]  Score: 1692865994
8.LA-LA(187)  [バーカバーカ！]  Score: 1682077172
9.Xu.(204)  [Detonator God]  Score: 1670123944
10.YAMIGAMI(207)  [S級本多忠勝]  Score: 1668981965
11.HORIZON(212)  [Ｓ＋級紅茶]  Score: 1662048900
12.387(231)  [「プリスティンビート」]  Score: 1648292132
13.S-Kang(241)  [3EX]  Score: 1641578658
14.R.KaBaTa(252)  [TANO*C MASTER]  Score: 1628649318
15.LEO*(307)  [滋賀勢]  Score: 1580089853
16.FOX186(327)  [ウロボロス]  Score: 1568191699
17.GROOVER(352)  [「幼女の世界」]  Score: 1539293444
18.HAPPYEXE(360)  [S級織田信長]  Score: 1532975247
19.NC_B.RS(370)  [キング・オブ・ナイツ]  Score: 1526305197
20.RedBunny(384)  [幸福理論神]  Score: 1515730975
21.L(399)  [バーカバーカ！]  Score: 1501161515
22.On1D40ru(424)  [GROOVER]  Score: 1481583316
23.AZUSA>.<(465)  [星条旗の女王]  Score: 1444440399
24.BIGBANG(488)  [世界の傍観者]  Score: 1426427567
25.NGGFN(498)  [レンかわいいよレン]  Score: 1412119422
26.SkyFox(572)  [あるいは王という概念へのサクシード]  Score: 1347750151
27.O_____O(574)  [上上下下ABAB]  Score: 1347071916
28.Xa_xx(645)  [Starlight Road King]  Score: 1304461708
29.ETHEREUM(670)  [十人の話を同時に聞くことが出来る女神]  Score: 1285947896
30.+_RM13_(709)  [:-) master]  Score: 1255326083
31.Kevin(716)  [I love "蒼空に舞え、墨染の桜"]  Score: 1249548574
32.Kirby#64(738)  [青龍]  Score: 1235780435
33.Patrick(739)  [初PERFECT]  Score: 1234400485
34.LDT_JACK(745)  [STARLIGHT GOD]  Score: 1228690357
35.DBB_HTC(753)  [I love "東方不死鳥"]  Score: 1225715319
36.Flaxer#(788)  [無名の王]  Score: 1203666851
37.Yorda(795)  [FEB, 2018 TOP RANKER]  Score: 1196966265
38.HALKEN(804)  [I love 燦]  Score: 1191082306
39.ER-AKTK(856)  [第四ノ封印ヲ解放セシ者]  Score: 1168551058
40.SAKI(941)  [上上下下ABAB]  Score: 1124545590
41.LDT-Cus(945)  [遠征]  Score: 1123099322
42.@XUE(957)  [日本勢]  Score: 1116080509
43.SRH(978)  [I love "議論 -HEAT UP-"]  Score: 1105628984
44.G8.inc(989)  [練習中]  Score: 1100231748
